_0x0                                                             0x0-2018-06-24
aspellDicts.fo                                                   aspell-dict-fo-0.2.16-1
aspellDicts.fr                                                   aspell-dict-fr-0.50-3
aspellDicts.fy                                                   aspell-dict-fy-0.12-0
aspellDicts.ga                                                   aspell-dict-ga-4.5-0
aspellDicts.gd                                                   aspell-dict-gd-0.1.1-1
aspellDicts.gl                                                   aspell-dict-gl-0.5a-2
aspellDicts.grc                                                  aspell-dict-grc-0.02-0
aspellDicts.gu                                                   aspell-dict-gu-0.03-0
aspellDicts.gv                                                   aspell-dict-gv-0.50-0
aspellDicts.he                                                   aspell-dict-he-1.0-0
hspellDicts.aspell                                               aspell-dict-he-1.1
aspellDicts.hi                                                   aspell-dict-hi-0.02-0
aspellDicts.hil                                                  aspell-dict-hil-0.11-0
aspellDicts.hr                                                   aspell-dict-hr-0.51-0
aspellDicts.hsb                                                  aspell-dict-hsb-0.02-0
aspellDicts.hu                                                   aspell-dict-hu-0.99.4.2-0
aspellDicts.hus                                                  aspell-dict-hus-0.03-1
aspellDicts.hy                                                   aspell-dict-hy-0.10.0-0
aspellDicts.ia                                                   aspell-dict-ia-0.50-1
aspellDicts.id                                                   aspell-dict-id-1.2-0
aspellDicts.is                                                   aspell-dict-is-0.51.1-0
aspellDicts.it                                                   aspell-dict-it-2.2_20050523-0
aspellDicts.kn                                                   aspell-dict-kn-0.01-1
aspellDicts.ku                                                   aspell-dict-ku-0.20-1
aspellDicts.ky                                                   aspell-dict-ky-0.01-0
aspellDicts.la                                                   aspell-dict-la-20020503-0
aspellDicts.lt                                                   aspell-dict-lt-1.2.1-0
aspellDicts.lv                                                   aspell-dict-lv-0.5.5-1
aspellDicts.mg                                                   aspell-dict-mg-0.03-0
aspellDicts.mi                                                   aspell-dict-mi-0.50-0
aspellDicts.mk                                                   aspell-dict-mk-0.50-0
aspellDicts.ml                                                   aspell-dict-ml-0.03-1
aspellDicts.mn                                                   aspell-dict-mn-0.06-2
aspellDicts.mr                                                   aspell-dict-mr-0.10-0
aspellDicts.ms                                                   aspell-dict-ms-0.50-0
aspellDicts.mt                                                   aspell-dict-mt-0.50-0
aspellDicts.nb                                                   aspell-dict-nb-0.50.1-0
aspellDicts.nds                                                  aspell-dict-nds-0.01-0
aspellDicts.nl                                                   aspell-dict-nl-0.50-2
aspellDicts.nn                                                   aspell-dict-nn-0.50.1-1
aspellDicts.ny                                                   aspell-dict-ny-0.01-0
aspellDicts.or                                                   aspell-dict-or-0.03-1
aspellDicts.pa                                                   aspell-dict-pa-0.01-1
aspellDicts.pl                                                   aspell-dict-pl-6.0_20061121-0
aspellDicts.pt_BR                                                aspell-dict-pt_BR-20090702-0
aspellDicts.pt_PT                                                aspell-dict-pt_PT-20070510-0
aspellDicts.qu                                                   aspell-dict-qu-0.02-0
aspellDicts.ro                                                   aspell-dict-ro-3.3-2
aspellDicts.ru                                                   aspell-dict-ru-0.99f7-1
aspellDicts.rw                                                   aspell-dict-rw-0.50-0
aspellDicts.sc                                                   aspell-dict-sc-1.0
aspellDicts.sk                                                   aspell-dict-sk-2.01-2
aspellDicts.sl                                                   aspell-dict-sl-0.50-0
aspellDicts.sr                                                   aspell-dict-sr-0.02
aspellDicts.sv                                                   aspell-dict-sv-0.51-0
aspellDicts.sw                                                   aspell-dict-sw-0.50-0
aspellDicts.ta                                                   aspell-dict-ta-20040424-1
aspellDicts.te                                                   aspell-dict-te-0.01-2
aspellDicts.tet                                                  aspell-dict-tet-0.1.1
aspellDicts.tk                                                   aspell-dict-tk-0.01-0
aspellDicts.tl                                                   aspell-dict-tl-0.02-1
aspellDicts.tn                                                   aspell-dict-tn-1.0.1-0
aspellDicts.tr                                                   aspell-dict-tr-0.50-0
aspellDicts.uk                                                   aspell-dict-uk-1.4.0-0
aspellDicts.uz                                                   aspell-dict-uz-0.6-0
aspellDicts.vi                                                   aspell-dict-vi-0.01.1-1
aspellDicts.wa                                                   aspell-dict-wa-0.50-0
aspellDicts.yi                                                   aspell-dict-yi-0.01.1-1
